"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
pro-plan-perro-mobility-x-2-kgs;"PRO PLAN PERRO MOBILITY X 2 KGS";"Perros > Alimentos balanceados, Perros > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;40,900.00;;2.00;0.00;0.00;0.00;0;01806;;SI;NO;"<p>Alimento terap&eacute;utico balanceado y completo para perros de todas las razas y edades. Indicado como soporte nutricional al tratamiento m&eacute;dico de enfermedades osteoarticulares, como la osteoartritis.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>&nbsp;</p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-perro-mobility-x-75-kgs;"PRO PLAN PERRO MOBILITY X 7,5 KGS";"Perros > Alimentos balanceados, Perros > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;101,400.00;;7.50;0.00;0.00;0.00;0;01805;;SI;NO;"<p>Alimento terap&eacute;utico balanceado y completo para perros de todas las razas y edades. Indicado como soporte nutricional al tratamiento m&eacute;dico de enfermedades osteoarticulares, como la osteoartritis.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>&nbsp;</p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-perro-nefrologico-x-75-kgs;"PRO PLAN PERRO NEFROLOGICO X 7,5 KGS";"Perros > Alimentos balanceados, Perros > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;86,100.00;;7.50;0.00;0.00;0.00;0;01799;;SI;NO;"<p>Alimento terap&eacute;utico balanceado y completo para perros adultos de todas las razas. Indicado como soporte nutricional al tratamiento m&eacute;dico de la enfermedad renal y de la encefalopat&iacute;a hep&aacute;tica.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>&nbsp;</p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-perro-neurologico-x-2-kgs;"PRO PLAN PERRO NEUROLOGICO X 2 KGS";"Perros > Alimentos balanceados, Perros > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;41,000.00;;2.00;0.00;0.00;0.00;0;01808;;SI;NO;"<p>Alimento terap&eacute;utico balanceado y completo para perros de todas las razas y edades. Indicado como soporte nutricional al tratamiento m&eacute;dico de la epilepsia idiop&aacute;tica. Este alimento tambi&eacute;n puede utilizarse en perros de edad avanzada que presenten signos neurol&oacute;gicos relacionados al s&iacute;ndrome de disfunci&oacute;n cognitiva.</p>

<p>&nbsp;</p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>&nbsp;</p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-perro-neurologico-x-75-kgs;"PRO PLAN PERRO NEUROLOGICO X 7,5 KGS";"Perros > Alimentos balanceados, Perros > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;102,200.00;;7.50;0.00;0.00;0.00;0;01807;;SI;NO;"<p>Alimento terap&eacute;utico balanceado y completo para perros de todas las razas y edades. Indicado como soporte nutricional al tratamiento m&eacute;dico de la epilepsia idiop&aacute;tica. Este alimento tambi&eacute;n puede utilizarse en perros de edad avanzada que presenten signos neurol&oacute;gicos relacionados al s&iacute;ndrome de disfunci&oacute;n cognitiva.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>&nbsp;</p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-perro-obesidad-x-75-kgs;"PRO PLAN PERRO OBESIDAD X 7,5 KGS";"Perros > Alimentos balanceados, Perros > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;82,200.00;;7.50;0.00;0.00;0.00;0;01801;;SI;NO;"<p>Alimento terap&eacute;utico balanceado y completo para perros adultos de todas las razas. Indicado como soporte nutricional al tratamiento m&eacute;dico de la obesidad. Tambi&eacute;n puede utilizarse en perros con hiperlipidemia, diabetes mellitus en perros obesos y enfermedades intestinales que responden a la fibra.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-perro-urinario-x-2-kgs;"PRO PLAN PERRO URINARIO X 2 KGS";"Perros > Alimentos balanceados, Perros > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;31,200.00;;2.00;0.00;0.00;0.00;0;01804;;SI;NO;"<p>Alimento terape&uacute;tico balanceado y completo para perros adultos de todas las razas. Indicado como soporte nutricional al tratamiento m&eacute;dico para la disoluci&oacute;n de ur&oacute;litos de estruvita est&eacute;riles y como ayuda nutricional en la reducci&oacute;n del riesgo de formaci&oacute;n de ur&oacute;litos de estruvita est&eacute;riles y oxalato de calcio.</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-perro-urinario-x-75-kgs;"PRO PLAN PERRO URINARIO X 7,5 KGS";"Perros > Alimentos balanceados, Perros > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;77,300.00;;7.50;0.00;0.00;0.00;0;01803;;SI;NO;"<p>Alimento terape&uacute;tico balanceado y completo para perros adultos de todas las razas. Indicado como soporte nutricional al tratamiento m&eacute;dico para la disoluci&oacute;n de ur&oacute;litos de estruvita est&eacute;riles y como ayuda nutricional en la reducci&oacute;n del riesgo de formaci&oacute;n de ur&oacute;litos de estruvita est&eacute;riles y oxalato de calcio.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-gato-gastroenterico-x-15-kgs;"PRO PLAN GATO GASTROENTERICO X 1,5 KGS";"Gatos > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;31,300.00;;1.50;0.00;0.00;0.00;0;01816;;SI;NO;"<p>Alimento terap&eacute;utico balanceado&nbsp;y completo para gatos de todas las razas y edades, rico en prote&iacute;nas, bajo en carbohidratos y moderado en grasas. Indicado especialmente como soporte nutricional al tratamiento m&eacute;dico de enfermedades gastroent&eacute;ricas como enteritis, gastritis, diarrea, v&oacute;mitos, pancreatitis, lipidosis hep&aacute;tica y enfermedad inflamatoria intestinal cr&oacute;nica.</p>
<p>&nbsp;</p>
<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>
<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>";;;;;SI;;;;
pro-plan-gato-ha-hidrolizado-x-15-kgs;"PRO PLAN GATO HA HIDROLIZADO X 1,5 KGS";"Gatos > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;24,700.00;;1.50;0.00;0.00;0.00;0;01819;;SI;NO;"<p>Alimento completo para gatos adultos de todas las razas formulado para ayudar en el tratamiento de alergias o intolerancias alimentarias. Tambi&eacute;n se puede utilizar como auxiliar en dieta de eliminaci&oacute;n, en la enfermedad inflamatoria intestinal cr&oacute;nica, insuficiencia pancre&aacute;tica y gastroenteritis asociadas a alergia alimentaria.</p>

<p>&nbsp;</p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>&nbsp;</p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-gato-ha-hidrolizado-x-3kgs;"PRO PLAN GATO HA HIDROLIZADO X 3KGS";"Gatos > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;46,300.00;;3.00;0.00;0.00;0.00;0;01820;;SI;NO;"<p>Alimento completo para gatos adultos de todas las razas formulado para ayudar en el tratamiento de alergias o intolerancias alimentarias. Tambi&eacute;n se puede utilizar como auxiliar en dieta de eliminaci&oacute;n, en la enfermedad inflamatoria intestinal cr&oacute;nica, insuficiencia pancre&aacute;tica y gastroenteritis asociadas a alergia alimentaria.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesita</strong>s</p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>&nbsp;</p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-gato-nefrologico-advanced-stage-x-15-kgs;"PRO PLAN GATO NEFROLOGICO ADVANCED STAGE X 1,5 KGS";"Gatos > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;29,200.00;;1.50;0.00;0.00;0.00;5;01818;;SI;NO;"<p>Alimento terap&eacute;utico balanceado y completo para gatos adultos de todas las razas. Indicado como soporte nutricional al tratamiento m&eacute;dico de la enfermedad renal cr&oacute;nica en etapas iniciales que no requieren de una restricci&oacute;n proteica en su dieta.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>&nbsp;</p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-gato-nefrologico-early-stage-x-15-kgs;"PRO PLAN GATO NEFROLOGICO EARLY STAGE X 1,5 KGS";"Gatos > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;21,400.00;;1.50;0.00;0.00;0.00;0;01817;;SI;NO;"<p>Alimento terap&eacute;utico balanceado y completo para gatos adultos de todas las razas. Indicado como soporte nutricional al tratamiento m&eacute;dico de la enfermedad renal cr&oacute;nica en etapas iniciales que no requieren de una restricci&oacute;n proteica en su dieta.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>&nbsp;</p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-gato-urinario-x-15-kgs;"PRO PLAN GATO URINARIO X 1,5 KGS";"Gatos > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;34,800.00;;1.50;0.00;0.00;0.00;4;01813;;SI;NO;"<p>Alimento terap&eacute;utico balanceado y completo para gatos adultos de todas las razas, indicado como soporte nutricional al tratamiento m&eacute;dico para la disoluci&oacute;n de urolitos de estruvita y como ayuda nutricional en la prevenci&oacute;n de la formaci&oacute;n de urolitos de estruvita y oxalato de calcio. Este alimento tambi&eacute;n puede utilizarse como ayuda nutricional en gatos con enfermedades del tracto urinario inferior como cistitis.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>&nbsp;</p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-gato-urinario-x-75-kgs;"PRO PLAN GATO URINARIO X 7,5 KGS";"Gatos > Alimentos balanceados, Gatos > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;0.00;;7.50;0.00;0.00;0.00;0;01814;;SI;NO;"<p>Alimento terap&eacute;utico balanceado y completo para gatos adultos de todas las razas, indicado como soporte nutricional al tratamiento m&eacute;dico para la disoluci&oacute;n de urolitos de estruvita y como ayuda nutricional en la prevenci&oacute;n de la formaci&oacute;n de urolitos de estruvita y oxalato de calcio. Este alimento tambi&eacute;n puede utilizarse como ayuda nutricional en gatos con enfermedades del tracto urinario inferior como cistitis.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>&nbsp;</p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece</p>
";;;;;SI;;;;
pro-plan-perro-ha-hidrolizadox-2-kgs;"PRO PLAN PERRO HA HIDROLIZADOX 2 KG";"Perros > Alimentos balanceados, Perros > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;41,000.00;;2.00;0.00;0.00;0.00;0;01812;;SI;NO;"<p>Alimento completo para perros adultos de todas las razas, formulado para ayudar en el tratamiento de alergias o intolerancias alimentarias. Tambi&eacute;n se puede utilizar como auxiliar en dieta de eliminaci&oacute;n, en la enfermedad inflamatoria intestinal cr&oacute;nica, enteropat&iacute;as con p&eacute;rdidas de prote&iacute;na, gastroenteritis asociadas a alergia alimentaria y malabsorci&oacute;n.</p>

<p>Se recomienda la consulta del veterinario antes de utilizarlo o de prolongar el per&iacute;odo de las directrices de uso.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong><span class=""selectable-text copyable-text"">Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</span></strong></p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-adult-cat-x-15kg;"PRO PLAN ADULT CAT X 15KG";"Gatos > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;205,600.00;;15.00;0.00;0.00;0.00;0;00459;;SI;NO;"<p>Alimento completo y balanceado para gatos adultos de todas las razas.</p>

<p>Es una tecnolog&iacute;a exclusiva, con una combinaci&oacute;n de prebi&oacute;ticos y antioxidantes naturales, que ayudan a optimizar la digesti&oacute;n y a mantener fuertes las defensas naturales de tu gato, protegiendo su sistema inmunol&oacute;gico contra las amenazas externas.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece</p>
";;;;;SI;;;;
pro-plan-active-mind-razas-medianas-grandes-de-7-anos-deedad-x-3kg;"PRO PLAN ACTIVE MIND RAZAS MEDIANAS & GRANDES (+ DE 7 AÑOS DE EDAD) X 3KG";"Perros > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;43,400.00;;3.00;0.00;0.00;0.00;0;00436;;SI;NO;"<p>Provee nutrici&oacute;n de avanzada para proteger a los perros mayores de 7 a&ntilde;os, manteni&eacute;ndolos sanos y activos.</p>

<p>Formulado con fuentes naturales de glucosamina, que ayudan a mantener las articulaciones sanas y una movilidad &oacute;ptima. Contiene una proporci&oacute;n equilibrada de prote&iacute;na y grasa para mantener la masa muscular magra, una combinaci&oacute;n de antioxidantes naturales y vitaminas E y C.</p>

<p>&nbsp;</p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-active-mind-razas-pequenas-de-7-anos-de-edad-x-1kg;"PRO PLAN ACTIVE MIND RAZAS PEQUEÑAS(+ DE 7 AÑOS DE EDAD) X 1KG";"Perros > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;17,100.00;;1.00;0.00;0.00;0.00;0;00433;;SI;NO;"<p>Provee nutrici&oacute;n de avanzada para proteger a los perros mayores de 7 a&ntilde;os razas peque&ntilde;as, manteni&eacute;ndolos sanos y activos.</p>

<p>Formulado con fuentes naturales de glucosamina, que ayudan a mantener las articulaciones sanas y una movilidad &oacute;ptima. Contiene una proporci&oacute;n equilibrada de prote&iacute;na y grasa para mantener la masa muscular magra, una combinaci&oacute;n de antioxidantes naturales y vitaminas E y C.</p>

<p>&nbsp;</p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-active-mind-razas-pequenas-de-7-anos-de-edad-x-3kg;"PRO PLAN ACTIVE MIND RAZAS PEQUEÑAS(+ DE 7 AÑOS DE EDAD) X 3KG";"Perros > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;45,400.00;;3.00;0.00;0.00;0.00;0;00434;;SI;NO;"<p>Provee nutrici&oacute;n de avanzada para proteger a los perros mayores de 7 a&ntilde;os razas peque&ntilde;as, manteni&eacute;ndolos sanos y activos.</p>

<p>Formulado con fuentes naturales de glucosamina, que ayudan a mantener las articulaciones sanas y una movilidad &oacute;ptima. Contiene una proporci&oacute;n equilibrada de prote&iacute;na y grasa para mantener la masa muscular magra, una combinaci&oacute;n de antioxidantes naturales y vitaminas E y C.</p>

<p>&nbsp;</p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-active-mind-razas-pequenas-de-7-anos-de-edad-x-75kg;"PRO PLAN ACTIVE MIND RAZAS PEQUEÑAS(+ DE 7 AÑOS DE EDAD) X 7,5KG";"Perros > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;91,100.00;;7.50;0.00;0.00;0.00;0;00435;;SI;NO;"<p>Provee nutrici&oacute;n de avanzada para proteger a los perros mayores de 7 a&ntilde;os razas peque&ntilde;as, manteni&eacute;ndolos sanos y activos.</p>

<p>Formulado con fuentes naturales de glucosamina, que ayudan a mantener las articulaciones sanas y una movilidad &oacute;ptima. Contiene una proporci&oacute;n equilibrada de prote&iacute;na y grasa para mantener la masa muscular magra, una combinaci&oacute;n de antioxidantes naturales y vitaminas E y C.</p>

<p>&nbsp;</p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-adult-cat-7-x-1kg;"PRO PLAN ADULT CAT 7+ X 1KG";"Gatos > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;23,800.00;;1.00;0.00;0.00;0.00;0;00460;;SI;NO;"<p>Alimento completo y balanceado para gatos de 7 o m&aacute;s a&ntilde;os.</p>

<p>Es una tecnolog&iacute;a exclusiva, formulada con una novedosa mezcla de amino&aacute;cidos, antioxidantes naturales, vitaminas del complejo B y omega 3 y 6, para ayudar a proteger y mantener la actividad cerebral y retrasar los signos del envejecimiento de tu gato.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
pro-plan-adult-cat-7-x-75kg;"PRO PLAN ADULT CAT 7+ X 7,5KG";"Gatos > Alimentos balanceados > ALIMENTOS SECOS > Pro Plan";;;;;;;127,200.00;;7.50;0.00;0.00;0.00;0;00462;;SI;NO;"<p>Alimento completo y balanceado para gatos de 7 o m&aacute;s a&ntilde;os.</p>

<p>Es una tecnolog&iacute;a exclusiva, formulada con una novedosa mezcla de amino&aacute;cidos, antioxidantes naturales, vitaminas del complejo B y omega 3 y 6, para ayudar a proteger y mantener la actividad cerebral y retrasar los signos del envejecimiento de tu gato.</p>

<p>&nbsp;</p>

<p><strong>Si deseas conocer la disponibilidad de nuestro producto, te invitamos a que nos contactes a trav&eacute;s de WhatsApp. Estamos disponibles para responder a todas tus preguntas y brindarte la informaci&oacute;n que necesitas</strong></p>

<p><strong>Podes dejarnos en notas, cualquier informaci&oacute;n que quieras darnos como horario especial de entrega, colores preferidos o lo que consideres necesario para tu pedido</strong></p>

<p>Dale a tu mascota lo mejor en alimentos y vis&iacute;ta tu sucursal La Mascotera m&aacute;s cercana para encontrar todos los productos de la calidad que tu compa&ntilde;ero peludo se merece.</p>
";;;;;SI;;;;
